"Exercice";"Perimetre";"Hypothèse sur les indicateurs (par année)";"CFE";"CVAE";"TAFNB";"IFER";"TASCOM";"DCRTP_GIR";"FNB";"FB";"TH";"TVA"
2016;"Metropole";"non";241982603;123421959;1498674;18393000;19977000;375033707;354517;58264242;278313352;
2017;"Metropole";"non";252242494;128249712;1504869;19679049;25030915;375033707;368596;59369102;282070276;
2018;"Metropole";"non";262520823;130791633;1514482;20672968;21163477;375033707;359871;60771858;287234965;
2019;"Metropole";"non";260641750;143101096;1534931;21193148;20727235;375033707;367533;62331772;296622910;
2020;"Metropole";"Budget_2020";271553096;144264502;1583972;21405120;16951581;374391809;381194;63904443;301544485;
2021;"Metropole";"Prevision_debat_orientation_2021";271553096;132320474;1583972;21405120;16951581;373765863;381194;64543487;15829703;304969056
2016;"Rousset";"non";3361086;1795153;19394;;;65926841;2995;35796;545973;
2017;"Rousset";"non";3709525;1979120;7716;128561;37509;65926841;2003;78690;572775;
2018;"Rousset";"non";4199995;2349278;7105;133810;42059;65926841;2049;119376;608012;
2019;"Rousset";"non";4301968;2346345;7675;153893;48987;65926841;2226;163256;644913;
2020;"Rousset";"Reprise_2020";4301968;2346345;7675;153893;48987;65926841;2226;163256;644913;
2021;"Rousset";"Maintien_poids_Rousset";4301968;2152085;7675;153893;48987;65816618;2226;164889;33855;652237
